RecordID,HP Category,Year,Month,u.CAGI,d.CAGI,u.IR,d.IR,u.NonIR,d.NonIR,r3mo_d_CAGI,r3mo_d_IR,r3mo_d_NonIR,r3mo_u_CAGI,r3mo_u_IR,r3mo_u_NonIR,r6mo_d_CAGI,r6mo_d_IR,r6mo_d_NonIR,r6mo_u_CAGI,r6mo_u_IR,r6mo_u_NonIR
113,100 hp,2012,5,254,7785138,84,2680500,170,5104638,8580604,2264544,6316060,283.333333333333,73.3333333333333,210,8022842.66666667,1954484.33333333,6068358.33333333,268,64.3333333333333,203.666666666667
114,100 hp,2012,6,294,8715312,90,2716414,204,5998898,8792338,2679776,6112562,293.333333333333,87.3333333333333,206,7961792.66666667,1998718.66666667,5963074,266,65.6666666666667,200.333333333333
115,100 hp,2012,7,220,6384892,52,1510894,168,4873998,7628447.33333333,2302602.66666667,5325844.66666667,256,75.3333333333333,180.666666666667,8095686,2116591,5979095,270.666666666667,70,200.666666666667
116,100 hp,2012,8,280,8416518,58,1716104,222,6700414,7838907.33333333,1981137.33333333,5857770,264.666666666667,66.6666666666667,198,8209755.66666667,2122840.66666667,6086915,274,70,204
117,100 hp,2012,9,276,7989642,56,1650708,220,6338934,7597017.33333333,1625902,5971115.33333333,258.666666666667,55.3333333333333,203.333333333333,8194677.66666667,2152839,6041838.66666667,276,71.3333333333333,204.666666666667
118,100 hp,2012,10,308,8949428,78,2131532,230,6817896,8451862.66666667,1832781.33333333,6619081.33333333,288,64,224,8040155,2067692,5972463,272,69.6666666666667,202.333333333333
119,100 hp,2012,11,322,9803404,84,2500876,238,7302528,8914158,2094372,6819786,302,72.6666666666667,229.333333333333,8376532.66666667,2037754.66666667,6338778,283.333333333333,69.6666666666667,213.666666666667
120,100 hp,2012,12,328,10449006,96,2287590,232,8161416,9733946,2306666,7427280,319.333333333333,86,233.333333333333,8665481.66666667,1966284,6699197.66666667,289,70.6666666666667,218.333333333333
121,100 hp,2013,1,216,6818172,48,1599208,168,5218964,9023527.33333333,2129224.66666667,6894302.66666667,288.666666666667,76,212.666666666667,8737695,1981003,6756692,288.333333333333,70,218.333333333333
122,100 hp,2013,2,274,8408008,54,1646792,220,6761216,8558395.33333333,1844530,6713865.33333333,272.666666666667,66,206.666666666667,8736276.66666667,1969451,6766825.66666667,287.333333333333,69.3333333333333,218
123,100 hp,2013,3,310,9280884,70,2161424,240,7119460,8169021.33333333,1802474.66666667,6366546.66666667,266.666666666667,57.3333333333333,209.333333333333,8951483.66666667,2054570.33333333,6896913.33333333,293,71.6666666666667,221.333333333333
